Integration Report

Project Name: ,Project 41,Type:,Residential,Location:,"London, England"
Quotation Number:,.0,Created by:,Anthony Carter,Document Revision:,
Lutron Designer 23.7.0.17651,,Created on:,"December 05, 2023",,

Device name,Model,href,Component,Component href,Component Name
,,,Button 9,/button/212282,Raise
,,,Button 10,/button/212287,Lower
,,,Led 001,/led/212241,
,,,Led 002,/led/212246,
,,,Led 003,/led/212251,
,,,Led 004,/led/212256,
,,,Led 005,/led/212261,
,,,Led 006,/led/212266,
,,,Led 007,/led/212271,
,,,Led 008,/led/212276,
,,,Led 009,/led/212281,
,,,Led 010,/led/212286,
Basement\‎Cinema\‎by door\‎Control Station Device 001,HQWA-W5BRLN-WH,/device/3748,Button 1,/button/3760,Day
,,,Button 2,/button/3761,Entertain
,,,Button 3,/button/3762,Movie
,,,Button 4,/button/3763,Relax
,,,Button 5,/button/3764,Off
,,,Button 18,/button/3765,
,,,Button 19,/button/3767,
,,,Led 1,/led/3754,
,,,Led 2,/led/3755,
,,,Led 3,/led/3756,
,,,Led 4,/led/3757,
,,,Led 5,/led/3758,
Basement\‎Cinema\‎Crestron Interface\‎Device 1,Phantom Keypad,/device/210410,Button 1,/button/212176,Off
,,,Button 2,/button/212181,Day
,,,Button 3,/button/212186,Entertain
,,,Button 4,/button/212191,Night
,,,Button 5,/button/212196,Relax
,,,Button 6,/button/212201,
,,,Button 7,/button/212206,
,,,Button 8,/button/212211,
,,,Button 9,/button/212216,Raise
,,,Button 10,/button/212221,Lower
,,,Led 001,/led/212175,
,,,Led 002,/led/212180,
,,,Led 003,/led/212185,
,,,Led 004,/led/212190,
,,,Led 005,/led/212195,
,,,Led 006,/led/212200,
,,,Led 007,/led/212205,
,,,Led 008,/led/212210,
,,,Led 009,/led/212215,
,,,Led 010,/led/212220,
Lighting Room\‎08. Keypads\‎by Door RHS\‎Control Station Device 001,HWIS-10BRL-F-SN,/device/21115,Button 1,/button/21132,Occhio
,,,Button 2,/button/21133,Lana
,,,Button 3,/button/21134,Coffer
,,,Button 4,/button/21135,Oval
,,,Button 5,/button/21136,Faro
,,,Button 6,/button/21137,PID
,,,Button 7,/button/21138,Lana
,,,Button 8,/button/21139,LED
,,,Button 9,/button/21140,Wall Wash
,,,Button 10,/button/21141,Wall
,,,Button 18,/button/21142,
,,,Button 19,/button/21144,
,,,Led 1,/led/21121,
,,,Led 2,/led/21122,
,,,Led 3,/led/21123,
,,,Led 4,/led/21124,
,,,Led 5,/led/21125,
,,,Led 6,/led/21126,
,,,Led 7,/led/21127,
,,,Led 8,/led/21128,
,,,Led 9,/led/21129,
,,,Led 10,/led/21130,
Lighting Room\‎08. Keypads\‎by Door LHS\‎Control Station Device 001,HWIS-10BRL-F-SN,/device/21158,Button 1,/button/21173,Demo
,,,Button 2,/button/21174,Roller
,,,Button 3,/button/21175,Roman
,,,Button 4,/button/21176,LED
,,,Button 5,/button/21177,Tungsten
,,,Button 6,/button/21178,Day
,,,Button 7,/button/21179,Night
,,,Button 8,/button/21180,Dining
,,,Button 9,/button/58398,Relax
,,,Button 10,/button/58401,Off
,,,Button 18,/button/21181,
,,,Button 19,/button/21183,
,,,Led 1,/led/21164,
,,,Led 2,/led/21165,
,,,Led 3,/led/21166,
,,,Led 4,/led/21167,
,,,Led 5,/led/21168,
,,,Led 6,/led/21169,
,,,Led 7,/led/21170,
,,,Led 8,/led/21171,
,,,Led 9,/led/58400,
,,,Led 10,/led/58403,
Lighting Room\‎08. Keypads\‎Tabletop Keypad\‎CSD 001,HQK-T15CRL-MN,/device/179593,Button 1,/button/179613,Day
,,,Button 2,/button/179616,Night
,,,Button 3,/button/179619,Dining
,,,Button 4,/button/179622,Relax
,,,Button 5,/button/179625,Off
,,,Button 6,/button/179633,Demo
,,,Button 7,/button/179636,LED
,,,Button 8,/button/179639,Tungsten
,,,Button 9,/button/179642,Occhio
,,,Button 10,/button/179645,
,,,Button 11,/button/179653,Rollers
,,,Button 12,/button/179656,Romans
,,,Button 13,/button/179659,Rollers
,,,Button 14,/button/179662,LEDs
,,,Button 15,/button/179665,LEDs
,,,Button 20,/button/179628,
,,,Button 21,/button/179630,
,,,Button 22,/button/179648,
,,,Button 23,/button/179650,
,,,Button 24,/button/179668,
,,,Button 25,/button/179670,
,,,Led 1,/led/179597,
,,,Led 2,/led/179598,
,,,Led 3,/led/179599,
,,,Led 4,/led/179600,
,,,Led 5,/led/179601,
,,,Led 6,/led/179602,
,,,Led 7,/led/179603,
,,,Led 8,/led/179604,
,,,Led 9,/led/179605,
,,,Led 10,/led/179606,
,,,Led 11,/led/179607,
,,,Led 12,/led/179608,
,,,Led 13,/led/179609,
,,,Led 14,/led/179610,
,,,Led 15,/led/179611,
Lighting Room\‎08. Keypads\‎IO 001,QSE-IO,/device/28472,,,
Lighting Room\‎09. Keypads Press and Hold\‎P+H Scenes (by Door LHS)\‎CSD 001,HWIS-10BRL-F-SN,/device/187300,Button 1,/button/187317,Demo
,,,Button 2,/button/187320,Roller
,,,Button 3,/button/187323,Roman
,,,Button 4,/button/187326,LED
,,,Button 5,/button/187329,Tungsten
,,,Button 6,/button/187332,Day
,,,Button 7,/button/187335,Night
,,,Button 8,/button/187338,Dining
,,,Button 9,/button/187341,Relax
,,,Button 10,/button/187344,Off
,,,Button 18,/button/187347,
,,,Button 19,/button/187349,
,,,Led 1,/led/187306,
,,,Led 2,/led/187307,
,,,Led 3,/led/187308,
,,,Led 4,/led/187309,
,,,Led 5,/led/187310,
,,,Led 6,/led/187311,
,,,Led 7,/led/187312,
,,,Led 8,/led/187313,
,,,Led 9,/led/187314,
,,,Led 10,/led/187315,
Lighting Room\‎09. Keypads Press and Hold\‎P+H Scenes (by Door RHS)\‎CSD 001,HWIS-10BRL-F-SN,/device/187848,Button 1,/button/187865,Occhio
,,,Button 2,/button/187868,Lana
,,,Button 3,/button/187871,Coffer
,,,Button 4,/button/187874,Oval
,,,Button 5,/button/187877,Faro
,,,Button 6,/button/187880,PID
,,,Button 7,/button/187883,Lana
,,,Button 8,/button/187886,LED
,,,Button 9,/button/187889,Wall Wash
,,,Button 10,/button/187892,Wall
,,,Button 18,/button/187895,
,,,Button 19,/button/187897,
,,,Led 1,/led/187854,
,,,Led 2,/led/187855,
,,,Led 3,/led/187856,
,,,Led 4,/led/187857,
,,,Led 5,/led/187858,
,,,Led 6,/led/187859,
,,,Led 7,/led/187860,
,,,Led 8,/led/187861,
,,,Led 9,/led/187862,
,,,Led 10,/led/187863,
Lighting Room\‎09. Keypads Press and Hold\‎P+H Tabletop Keypad\‎CSD 001,HQK-T15CRL-MN,/device/191244,Button 1,/button/191264,Day
,,,Button 2,/button/191267,Night
,,,Button 3,/button/191270,Dining
,,,Button 4,/button/191273,Relax
,,,Button 5,/button/191276,Off
,,,Button 6,/button/191284,Demo
,,,Button 7,/button/191287,LED
,,,Button 8,/button/191290,Tungsten
,,,Button 9,/button/191293,Occhio
,,,Button 10,/button/191296,
,,,Button 11,/button/191304,Rollers
,,,Button 12,/button/191307,Romans
,,,Button 13,/button/191310,Rollers
,,,Button 14,/button/191313,LEDs
,,,Button 15,/button/191316,LEDs
,,,Button 20,/button/191279,
,,,Button 21,/button/191281,
,,,Button 22,/button/191299,
,,,Button 23,/button/191301,
,,,Button 24,/button/191319,
,,,Button 25,/button/191321,
,,,Led 1,/led/191248,
,,,Led 2,/led/191249,
,,,Led 3,/led/191250,
,,,Led 4,/led/191251,
,,,Led 5,/led/191252,
,,,Led 6,/led/191253,
,,,Led 7,/led/191254,
,,,Led 8,/led/191255,
,,,Led 9,/led/191256,
,,,Led 10,/led/191257,
,,,Led 11,/led/191258,
,,,Led 12,/led/191259,
,,,Led 13,/led/191260,
,,,Led 14,/led/191261,
,,,Led 15,/led/191262,
Lighting Room\‎10. Virtual Keypads\‎Lighting Room Phantom Keypad\‎CSD 001,Phantom Keypad,/device/88448,Button 1,/button/88451,Day
,,,Button 2,/button/88458,Night
,,,Button 3,/button/88465,Dining
,,,Button 4,/button/88472,Relax
,,,Button 5,/button/104281,Off
,,,Button 6,/button/88493,Occhio
,,,Button 7,/button/88500,Lana
,,,Button 8,/button/88507,Coffer
,,,Button 9,/button/88514,Oval
,,,Button 10,/button/88521,Faro
,,,Button 11,/button/88528,PID
,,,Button 12,/button/88535,LED
,,,Button 13,/button/88542,Wall Wash
,,,Button 14,/button/88549,Wall
,,,Button 15,/button/88556,No Down
,,,Button 16,/button/88563,Silhouette
,,,Button 17,/button/88570,Low Level
,,,Button 18,/button/88577,Orluna
,,,Button 19,/button/88626,Tungsten
,,,Button 20,/button/104288,Soft
,,,Button 21,/button/88584,Roller LEDs
,,,Button 22,/button/88591,Roller LED Dim
,,,Button 23,/button/88598,Roller LED Low
,,,Button 24,/button/88605,Windows 2700K
,,,Button 25,/button/88612,Windows 6000K
,,,Button 26,/button/118428,Roller LED test
,,,Button 27,/button/118527,Roller LED Raise
,,,Button 28,/button/118534,Roller LED Lower
,,,Button 29,/button/118541,Luxitune
,,,Button 30,/button/118548,Luxitune Raise
,,,Button 31,/button/118555,Luxitune Lower
,,,Led 001,/led/88450,
,,,Led 002,/led/88457,
,,,Led 003,/led/88464,
,,,Led 004,/led/88471,
,,,Led 005,/led/88492,
,,,Led 006,/led/88499,
,,,Led 007,/led/88506,
,,,Led 008,/led/88513,
,,,Led 009,/led/88520,
,,,Led 010,/led/88527,
,,,Led 011,/led/88534,
,,,Led 012,/led/88541,
,,,Led 013,/led/88548,
,,,Led 014,/led/88555,
,,,Led 015,/led/88562,
,,,Led 016,/led/88569,
,,,Led 017,/led/88576,
,,,Led 018,/led/88583,
,,,Led 019,/led/88590,
,,,Led 020,/led/88597,
,,,Led 021,/led/88604,
,,,Led 022,/led/88611,
,,,Led 023,/led/88625,
,,,Led 024,/led/104280,
,,,Led 025,/led/104287,
,,,Led 026,/led/118427,
,,,Led 027,/led/118526,
,,,Led 028,/led/118533,
,,,Led 029,/led/118540,
,,,Led 030,/led/118547,
,,,Led 031,/led/118554,
"Lighting Room\‎10. Virtual Keypads\‎1, Lighting Room Virtual\‎CSD 001",HWIS-10BRL-I-AW,/device/99594,Button 1,/button/99611,Occhio
,,,Button 2,/button/99612,Lana
,,,Button 3,/button/99613,Coffer
,,,Button 4,/button/99614,Oval
,,,Button 5,/button/99615,Faro
,,,Button 6,/button/99616,PID
,,,Button 7,/button/99617,LED
,,,Button 8,/button/99618,Wall Wash
,,,Button 9,/button/99619,Wall
,,,Button 10,/button/99620,Tungsten
,,,Button 18,/button/99621,
,,,Button 19,/button/99623,
,,,Led 1,/led/99600,
,,,Led 2,/led/99601,
,,,Led 3,/led/99602,
,,,Led 4,/led/99603,
,,,Led 5,/led/99604,
,,,Led 6,/led/99605,
,,,Led 7,/led/99606,
,,,Led 8,/led/99607,
,,,Led 9,/led/99608,
,,,Led 10,/led/99609,
"Lighting Room\‎10. Virtual Keypads\‎2, Lighting Room Virtual\‎CSD 001",HWIS-10BRL-I-AW,/device/112681,Button 1,/button/112698,No Down
,,,Button 2,/button/112699,Silhouette
,,,Button 3,/button/112700,Low Level
,,,Button 4,/button/112701,Orluna
,,,Button 5,/button/112702,Soft
,,,Button 6,/button/112703,Roller LEDs
,,,Button 7,/button/112704,Roller Low
,,,Button 8,/button/112705,Duna
,,,Button 9,/button/112706,Window 27
,,,Button 10,/button/112707,Window 60
,,,Button 18,/button/112708,
,,,Button 19,/button/112710,
,,,Led 1,/led/112687,
,,,Led 2,/led/112688,
,,,Led 3,/led/112689,
,,,Led 4,/led/112690,
,,,Led 5,/led/112691,
,,,Led 6,/led/112692,
,,,Led 7,/led/112693,
,,,Led 8,/led/112694,
,,,Led 9,/led/112695,
,,,Led 10,/led/112696,
"Lighting Room\‎10. Virtual Keypads\‎3, Lighting Room Virtual\‎CSD 002",HWIS-10BRL-I-AW,/device/118456,Button 1,/button/118468,Roller LEDs
,,,Button 2,/button/118469,RollerLED /\
,,,Button 3,/button/118470,RollerLED \/
,,,Button 4,/button/118471,
,,,Button 5,/button/118472,
,,,Button 6,/button/121728,Luxitune
,,,Button 7,/button/121731,Luxitune /\
,,,Button 8,/button/121734,Luxitune \/
,,,Button 9,/button/121737,
,,,Button 10,/button/121740,
,,,Button 18,/button/118473,
,,,Button 19,/button/118475,
,,,Led 1,/led/118462,
,,,Led 2,/led/118463,
,,,Led 3,/led/118464,
,,,Led 4,/led/118465,
,,,Led 5,/led/118466,
,,,Led 6,/led/121730,
,,,Led 7,/led/121733,
,,,Led 8,/led/121736,
,,,Led 9,/led/121739,
,,,Led 10,/led/121742,
Lighting Room\‎10. Virtual Keypads\‎Lighting Room Crestron Page 1\‎CSD 001,Phantom Keypad,/device/129842,Button 1,/button/129849,Day
,,,Button 2,/button/129856,Night
,,,Button 3,/button/129863,Dining
,,,Button 4,/button/129870,Relax
,,,Button 5,/button/129877,Soft
,,,Button 6,/button/129884,Silhouette
,,,Button 7,/button/129891,LED
,,,Button 8,/button/129898,Tungsten
,,,Button 9,/button/129913,Rollers Up
,,,Button 10,/button/129920,Rollers Down
,,,Button 11,/button/129929,Romans Up
,,,Button 12,/button/129936,Romans Down
,,,Led 001,/led/129848,
,,,Led 002,/led/129855,
,,,Led 003,/led/129862,
,,,Led 004,/led/129869,
,,,Led 005,/led/129876,
,,,Led 006,/led/129883,
,,,Led 007,/led/129890,
,,,Led 008,/led/129897,
,,,Led 009,/led/129912,
,,,Led 010,/led/129919,
,,,Led 011,/led/129928,
,,,Led 012,/led/129935,
Lighting Room\‎10. Virtual Keypads\‎Lighting Room Crestron Page 2\‎CSD 001,Phantom Keypad,/device/129846,Button 1,/button/129954,Low Level
,,,Button 2,/button/129961,Silhouette
,,,Button 3,/button/129968,Wall Wash
,,,Button 4,/button/129975,Wall Lights
,,,Button 5,/button/129982,No Down
,,,Button 6,/button/129989,PID
,,,Button 7,/button/129996,Occhio
,,,Button 8,/button/130003,Lana
,,,Button 9,/button/130010,Coffer
,,,Button 10,/button/130017,KAP
,,,Button 11,/button/130024,Oval
,,,Button 12,/button/130031,Faro
,,,Button 13,/button/130038,Duna
,,,Button 14,/button/130045,Tungsten
,,,Button 15,/button/130066,Tungsten /\
,,,Button 16,/button/130073,Tungsten \/
,,,Button 17,/button/130080,LED
,,,Button 18,/button/130087,LED /\
,,,Button 19,/button/130094,LED \/
,,,Button 20,/button/130101,Luxitune
,,,Button 21,/button/130108,Luxitune /\
,,,Button 22,/button/130115,Luxitune \/
,,,Button 23,/button/130129,Orluna
,,,Button 24,/button/130136,Orluna /\
,,,Button 25,/button/130143,Orluna \/
,,,Button 26,/button/130150,Fabric Lana
,,,Button 27,/button/130157,Fabric Luxitune
,,,Button 28,/button/130164,Fabric Oval
,,,Button 29,/button/130171,Fabric Orluna
,,,Button 30,/button/130178,Roller Wall Start
,,,Button 31,/button/130192,Roller Wall /\
,,,Button 32,/button/130199,Roller Wall \/
,,,Button 33,/button/130206,Roller Wall Preset
,,,Button 34,/button/130213,Rollers /\
,,,Button 35,/button/130220,Rollers \/
,,,Button 36,/button/130227,Romans /\
,,,Button 37,/button/130234,Romans \/
,,,Led 001,/led/129953,
,,,Led 002,/led/129960,
,,,Led 003,/led/129967,
,,,Led 004,/led/129974,
,,,Led 005,/led/129981,
,,,Led 006,/led/129988,
,,,Led 007,/led/129995,
,,,Led 008,/led/130002,
,,,Led 009,/led/130009,
,,,Led 010,/led/130016,
,,,Led 011,/led/130023,
,,,Led 012,/led/130030,
,,,Led 013,/led/130037,
,,,Led 014,/led/130044,
,,,Led 015,/led/130065,
,,,Led 016,/led/130072,
,,,Led 017,/led/130079,
,,,Led 018,/led/130086,
,,,Led 019,/led/130093,
,,,Led 020,/led/130100,
,,,Led 021,/led/130107,
,,,Led 022,/led/130114,
,,,Led 023,/led/130128,
,,,Led 024,/led/130135,
,,,Led 025,/led/130142,
,,,Led 026,/led/130149,
,,,Led 027,/led/130156,
,,,Led 028,/led/130163,
,,,Led 029,/led/130170,
,,,Led 030,/led/130177,
,,,Led 031,/led/130191,
,,,Led 032,/led/130198,
,,,Led 033,/led/130205,
,,,Led 034,/led/130212,
,,,Led 035,/led/130219,
,,,Led 036,/led/130226,
,,,Led 037,/led/130233,
"Lighting Room\‎10. Virtual Keypads\‎4, Lighting Room Demo\‎CSD 001",HWIS-10BRL-F-AW,/device/128929,Button 1,/button/128946,Day
,,,Button 2,/button/128947,Night
,,,Button 3,/button/128948,Dining
,,,Button 4,/button/128949,Soft
,,,Button 5,/button/128950,Relax
,,,Button 6,/button/128951,LED
,,,Button 7,/button/128952,Tungsten
,,,Button 8,/button/128953,Silhouette
,,,Button 9,/button/128954,Romans /\
,,,Button 10,/button/128955,Romans \/
,,,Button 18,/button/128956,
,,,Button 19,/button/128958,
,,,Led 1,/led/128935,
,,,Led 2,/led/128936,
,,,Led 3,/led/128937,
,,,Led 4,/led/128938,
,,,Led 5,/led/128939,
,,,Led 6,/led/128940,
,,,Led 7,/led/128941,
,,,Led 8,/led/128942,
,,,Led 9,/led/128943,
,,,Led 10,/led/128944,

Zone Name,href
Ground Floor\‎Entrance Hall\‎Brand Van Egmond Chandelier,/zone/74940
Ground Floor\‎Entrance Hall\‎5 Amp,/zone/75004
Ground Floor\‎Entrance Hall\‎Bocci Chandelier,/zone/75125
Ground Floor\‎Entrance Hall\‎Occhio Wall Light,/zone/91196
"Ground Floor\‎Entrance Hall\‎z, Crestron Entry D/Ls",/zone/139571
"Ground Floor\‎Entrance Hall\‎z, Crestron Entry Wall",/zone/139603
"Ground Floor\‎Entrance Hall\‎z, Crestron Entry Display",/zone/139635
Ground Floor\‎Entrance Hall\‎Niche Lights,/zone/207642
Ground Floor\‎Entrance Hall\‎Walkway Lights,/zone/208395
Ground Floor\‎Virtual Modules\‎302,/zone/147791
Ground Floor\‎Virtual Modules\‎303,/zone/147823
Ground Floor\‎Virtual Modules\‎304,/zone/147855
Ground Floor\‎Virtual Modules\‎305,/zone/147887
Ground Floor\‎Virtual Modules\‎306,/zone/147919
Ground Floor\‎Virtual Modules\‎307,/zone/147951
Ground Floor\‎Virtual Modules\‎308,/zone/147983
Ground Floor\‎Virtual Modules\‎309,/zone/148015
Ground Floor\‎Virtual Modules\‎318,/zone/148047
Ground Floor\‎Virtual Modules\‎319,/zone/148079
Ground Floor\‎Virtual Modules\‎320,/zone/148111
Ground Floor\‎Virtual Modules\‎321,/zone/148143
Ground Floor\‎Virtual Modules\‎322,/zone/148175
Ground Floor\‎Virtual Modules\‎323,/zone/148207
Ground Floor\‎Virtual Modules\‎324,/zone/148239
Ground Floor\‎Virtual Modules\‎325,/zone/148271
Ground Floor\‎Virtual Modules\‎326,/zone/148303
Ground Floor\‎Virtual Modules\‎327,/zone/148335
Ground Floor\‎Virtual Modules\‎328,/zone/148367
"Ground Floor\‎Board Room\‎z, Crestron Boardroom Pendant",/zone/139699
"Ground Floor\‎Board Room\‎z, Crestron Boardroom Yellow Coffer",/zone/139731
"Ground Floor\‎Board Room\‎z, Crestron Boardroom Blue Coffer",/zone/139763
"Ground Floor\‎Board Room\‎z, Crestron Boardroom D/Ls",/zone/139667
"Ground Floor\‎Hallway\‎z, Crestron Hall D/Ls",/zone/138519
"Ground Floor\‎W/C\‎z, Crestron WC D/Ls",/zone/139539
Ground Floor\‎W/C\‎Downlights,/zone/213781
Ground Floor\‎Shading Room\‎Pendant Over Desk,/zone/62083
Ground Floor\‎Shading Room\‎5 Amp,/zone/62118
Ground Floor\‎Shading Room\‎Wall Lights by Desk,/zone/62150
Ground Floor\‎Shading Room\‎Lana Cones 1 Over Desk,/zone/62182
Ground Floor\‎Shading Room\‎Lana Cones by Roller Wall,/zone/62214
Ground Floor\‎Shading Room\‎Lana Cones by Track,/zone/62246
Ground Floor\‎Shading Room\‎Roller Window LED Panels,/zone/62310
Ground Floor\‎Shading Room\‎Curtain LED Strip,/zone/62342
Ground Floor\‎Shading Room\‎Curtain Window LED Panel,/zone/62374
Ground Floor\‎Shading Room\‎Boardroom Glass Penadnt,/zone/62438
Ground Floor\‎Shading Room\‎Boardroom Coffer,/zone/62470
Ground Floor\‎Shading Room\‎Siena Stair Lights,/zone/62502
Ground Floor\‎Rack Build\‎Rack Room Downlights,/zone/213763
Ground Floor\‎Rack Build\‎Rack Build Tube Lights,/zone/213772
Basement\‎Reception\‎Step Lights,/zone/2320
Basement\‎Reception\‎Step Lights 2,/zone/2481
Basement\‎Reception\‎Stair rail Light,/zone/8004
Basement\‎Reception\‎Redundant Coffer,/zone/8023
Basement\‎Reception\‎Outside toilets,/zone/8042
Basement\‎Reception\‎Redundant Coffer 2,/zone/8061
Basement\‎Reception\‎D/Ls (1),/zone/3227
Basement\‎Reception\‎Reef Wall Lights,/zone/118379
Basement\‎Reception\‎Ango Pendants,/zone/197232
Basement\‎Reception\‎Coffer Rope Light,/zone/202346
Basement\‎Cloakroom\‎D/Ls,/zone/2446
Basement\‎W/C Female\‎Female D/Ls,/zone/2387
Basement\‎W/C Male\‎Male D/Ls,/zone/2352
Basement\‎Den\‎D/Ls,/zone/2545
Basement\‎Den\‎Pendant,/zone/2580
Basement\‎Den\‎Joinery Lights,/zone/2612
Basement\‎Kitchen and Sitting Room\‎Kitchen Occhio Lui,/zone/2804
Basement\‎Kitchen and Sitting Room\‎Kitchen Island Strip,/zone/2839
Basement\‎Kitchen and Sitting Room\‎zz Spare,/zone/2871
Basement\‎Kitchen and Sitting Room\‎zz Spare 2,/zone/7985
Basement\‎Kitchen and Sitting Room\‎Kitchen Island Pendants,/zone/180708
Basement\‎Kitchen and Sitting Room\‎Kitchen Pelmet LED,/zone/180719
Basement\‎Kitchen and Sitting Room\‎Kitchen Coffer LED Strip,/zone/180730
Basement\‎Kitchen and Sitting Room\‎Living Downlights,/zone/2644
Basement\‎Kitchen and Sitting Room\‎Living Wall Lights,/zone/2676
Basement\‎Kitchen and Sitting Room\‎Living Coffer Strip,/zone/2708
Basement\‎Kitchen and Sitting Room\‎Living Joinery Lights,/zone/2740
Basement\‎Kitchen and Sitting Room\‎Living Windows,/zone/2772
Basement\‎Kitchen and Sitting Room\‎Downlights above Doors,/zone/183437
Basement\‎Kitchen and Sitting Room\‎5 Amps,/zone/7966
Basement\‎Kitchen and Sitting Room\‎Kitchen Shelf LED,/zone/209152
Basement\‎Games Room\‎Bar Coffer Light,/zone/2903
Basement\‎Games Room\‎Bar Stick Light,/zone/2970
Basement\‎Games Room\‎Bar Wine Rack/Shelfs,/zone/3002
Basement\‎Games Room\‎Step LED,/zone/3034
Basement\‎Games Room\‎Coffer Colour Lights,/zone/3099
Basement\‎Games Room\‎Stick LED's,/zone/3131
Basement\‎Games Room\‎Square DLs,/zone/3163
Basement\‎Games Room\‎Coffer Main,/zone/14441
Basement\‎Games Room\‎Bocci,/zone/20692
Basement\‎Cinema\‎Coffer LED Strip,/zone/3291
Basement\‎Cinema\‎Downlights,/zone/14374
Basement\‎Cinema\‎Coffer Rope Light,/zone/14409
Basement\‎Cinema\‎5 Amps,/zone/17997
Basement\‎Cinema\‎Wall LED Strips,/zone/196358
"Lighting Room\‎05. Ceiling Set\‎G, Sento Faro",/zone/19310
"Lighting Room\‎05. Ceiling Set\‎D, PID Ceiling Set",/zone/19342
"Lighting Room\‎05. Ceiling Set\‎A, JCC Ceiling Set",/zone/19374
"Lighting Room\‎05. Ceiling Set\‎B, AQP Ceiling Set",/zone/19406
"Lighting Room\‎05. Ceiling Set\‎E, TV unit LCTR",/zone/19438
"Lighting Room\‎05. Ceiling Set\‎C, PID/LED Ceiling Set",/zone/19470
"Lighting Room\‎05. Ceiling Set\‎Y, Pipe",/zone/20238
"Lighting Room\‎05. Ceiling Set\‎M, KAP",/zone/20430
Lighting Room\‎05. Ceiling Set\‎Orluna Curve Ceiling Set,/zone/61058
Lighting Room\‎05. Ceiling Set\‎LuxiTune Ceiling Set,/zone/61090
Lighting Room\‎06. Coffer\‎Coffer Rope Light,/zone/19179
Lighting Room\‎06. Coffer\‎Coffer LED Strip,/zone/19214
Lighting Room\‎04. Green Wall\‎Green Wall,/zone/19726
Lighting Room\‎04. Green Wall\‎Reef Wall Lights,/zone/20046
Lighting Room\‎04. Green Wall\‎Wall Wash and Alto,/zone/20398
Lighting Room\‎04. Green Wall\‎Orluna Snoot by Tiled Wall,/zone/61250
Lighting Room\‎04. Green Wall\‎G-0 by Door,/zone/20174
Lighting Room\‎01. Roller Wall\‎Alto 3D,/zone/19534
Lighting Room\‎01. Roller Wall\‎Niche WWM,/zone/19918
Lighting Room\‎01. Roller Wall\‎Niche Lucca,/zone/20142
Lighting Room\‎01. Roller Wall\‎Pico,/zone/28842
Lighting Room\‎01. Roller Wall\‎Roller GU10 LED Wall Wash,/zone/61122
Lighting Room\‎01. Roller Wall\‎Roller DimTone Wall Wash,/zone/61154
Lighting Room\‎01. Roller Wall\‎Roller Orluna MiniTilt,/zone/61186
Lighting Room\‎01. Roller Wall\‎Roller LuxiTune,/zone/61218
Lighting Room\‎01. Roller Wall\‎Niche Refract Profiles,/zone/19950
Lighting Room\‎03. TV Wall\‎Planters D/Ls,/zone/19502
Lighting Room\‎03. TV Wall\‎Brand Van Egmond Hollywood,/zone/20078
Lighting Room\‎03. TV Wall\‎Inside planters Spike Lights,/zone/20110
Lighting Room\‎03. TV Wall\‎Rope TV unit,/zone/20302
Lighting Room\‎02. Windows Wall\‎Oval Wall Wash,/zone/19598
Lighting Room\‎02. Windows Wall\‎Lana Cones by Windows,/zone/19630
Lighting Room\‎02. Windows Wall\‎Occhio Duna,/zone/19662
Lighting Room\‎02. Windows Wall\‎Glass Sculpture WWM,/zone/19694
Lighting Room\‎02. Windows Wall\‎Windows 2700k,/zone/19790
Lighting Room\‎02. Windows Wall\‎Windows 6000k,/zone/19822
Lighting Room\‎02. Windows Wall\‎LuxiTune by Windows,/zone/60994
Lighting Room\‎02. Windows Wall\‎Orluna MiniTilt by Windows,/zone/61026
Lighting Room\‎02. Windows Wall\‎Floating Units Shelf Lights,/zone/19758
Lighting Room\‎07. Table\‎Divo Pendants,/zone/19566
Lighting Room\‎07. Table\‎Table lamps,/zone/20206
Lighting Room\‎07. Table\‎Rope Under Desk,/zone/20014
"Lighting Room\‎11. Spare\‎Z, Spare, 23",/zone/19886
"Lighting Room\‎11. Spare\‎Z, Spare, 26",/zone/19982
"Lighting Room\‎11. Spare\‎Z, Spare, 35",/zone/20270
"Lighting Room\‎11. Spare\‎Z, TBC,37",/zone/20334
"Lighting Room\‎11. Spare\‎Z, TBC",/zone/20366
"Lighting Room\‎11. Spare\‎Z, Spare, Spare",/zone/20462
"Lighting Room\‎11. Spare\‎Z, Sofa LED Strip",/zone/19854


Area Name,href
Ground Floor\‎Lutron Headend,/area/582
Ground Floor\‎Entrance Hall,/area/5692
Ground Floor\‎Virtual Modules,/area/138496
Ground Floor\‎Board Room,/area/147551
Ground Floor\‎Hallway,/area/147571
Ground Floor\‎W/C,/area/147728
Ground Floor\‎Shading Room,/area/69309
Ground Floor\‎Keypad Cupboard,/area/80028
Ground Floor\‎Rack Build,/area/213751
Basement\‎Reception,/area/701
Basement\‎Cloakroom,/area/2422
Basement\‎W/C Female,/area/816
Basement\‎W/C Male,/area/790
Basement\‎Den,/area/724
Basement\‎Kitchen and Sitting Room,/area/678
Basement\‎Games Room,/area/747
Basement\‎Cinema,/area/770
Lighting Room Keypads,/area/20494
Lighting Room\‎05. Ceiling Set,/area/62619
Lighting Room\‎06. Coffer,/area/62639
Lighting Room\‎04. Green Wall,/area/62665
Lighting Room\‎01. Roller Wall,/area/62688
Lighting Room\‎03. TV Wall,/area/62708
Lighting Room\‎02. Windows Wall,/area/62734
Lighting Room\‎07. Table,/area/63020
Lighting Room\‎11. Spare,/area/63243
